company,type,rec_details,job details,city,skills,details,job_link,posted_time,posted_date,experience in int,actively_hiring/hiring
IDFC FIRST Bank Limited,Regular,Recruiter DetailsIDFC FIRST Bank LimitedOther Maharashtrahidden_emailhidden_mobile,"Role/Job Title: Senior Data Analyst

Function/Department: Data & Analytics

Job Purpose:

The Senior Data Analyst role identifies business needs and builds analytical tools and methods. Will also develop test strategies and will Ensure delivery outcomes for specific business asks on Data Analytics

Job & Responsibilities:
 Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery.
 Monitor and integrate emerging technology trends and developments, structured data gathering for the identification of new and emerging technological products, services and techniques.
 Specify and create data structures, including the setting of various parameters that can be modified to suit different structured and unstructured data requirements, the design of data flow, as well as the development of mechanisms for maintenance, storage and retrieval of. data based on the business requirements.
 Develop and implement guidelines, processes and norms across the organization for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches in a range of complex, ambiguous or multi-faceted contexts
Design solution blueprints and structures to guide the development of tech solutions to meet current and future business needs.
 Manage stakeholder expectations and needs by aligning those with requirements and objectives of the organization.
 Develop a test strategy and systematic test procedures to verify and ensure that solution meets its design specifications as well as the performance, load and volume levels set out.
 Identify and evaluate digitization and innovative business opportunities provided by new advancements in data & analytics to establish new services or businesses to bridge the physical and digital worlds.
 Develop, select and apply analytical tools and advanced computational methods to enable systems to learn, improve, adapt and produce desired outcomes or tasks

Key Success Metrics:
 Development analytical tools and deployment
 Business use cases

Education Qualification: Graduation: Bachelors in engineering / technology / Maths / Commerce / Arts / Science / Biology / Business / Computers / Management

Experience Range: 5 to 10 years,",Other Maharashtra,"Business Analysis,Data Structures,Solution Design,Stakeholder Management,Test Procedures,Data Analyst,Emerging Technology Trends,Test Strategies,Data Handling,Analytical Tools",Recruiter DetailsIDFC FIRST Bank LimitedOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-retail-liabilities-permanent/idfc-first-bank-limited/14549787,7 days ago,2024-03-24,"(5, 10)",hiring
SPECTRUM AV TECHNO CONSULTANTS,Regular,Recruiter DetailsSPECTRUM AV TECHNO CONSULTANTSOther Karnatakahidden_emailhidden_mobile,"=> Data Analyst with experience in Data Modelling including CDM, LDM, Transactional Relational Data Model with good SQL knowledge.

=> Excellent Communication Skills

=> Experience in Agile

=> Should be able to do the solution design and Functional/Technical analysis for application

=> Should have experience with Application process modelling.

=> Good knowledge about SQL

=> Good to have - Rest API and Java on Azue cloud.

=> Knowledge of Data Virtualization Technics would be an advantage

=> Able to work efficiently in onsite-offshore mode

Job Types: Full-time, Permanent

Salary: Up to 2,300,000.00 per year

Benefits:
 Provident Fund

Schedule:
 Day shift

Experience:
 total work: 6 years (Required)

Work Location: In person

Speak with the employer
+91 hidden_mobile,",Other Karnataka,"SQL,Agile,Solution Design,Functional Analysis,Technical Analysis,Rest API,Java,Data Modelling,Application Process Modelling,Azure Cloud,Data Virtualization",Recruiter DetailsSPECTRUM AV TECHNO CONSULTANTSOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/spectrum-av-techno-consultants/14545458,7 days ago,2024-03-24,"(6,)",hiring
Xylem,Regular,Recruiter DetailsXylemOther Gujarathidden_emailhidden_mobile,"Description

Product Data Analyst

Xylem is seeking a dynamic and detail-oriented individual to join our team as a Product Data Analyst. In this role, you will be responsible for collecting and enriching product data to ensure accuracy, completeness, and consistency across all our platforms. As the key custodian of product information, you will collaborate with cross-functional teams to maintain high-quality data and contribute to the overall success of our product offerings

Essential Duties/Principal Responsibilities

(Describe benchmark key responsibilities in concise, comprehensive statements.)
 Gather and standardize product information from various sources, ensuring accuracy and completeness.
 Collaborate with internal teams to enrich product data with relevant details and specifications.
 Identify opportunities to enhance product information for improved customer understanding.
 Identify opportunities to standardize and automate product data enrichment and data updates.
. Work closely with marketing, sales, and product development teams and act as a liaison between different departments to facilitate effective communication and data sharing.
 Continuously assess and enhance data management processes for increased efficiency and accuracy.
 Ability to communicate effectively in writing and orally.

Key Competencies
 Must be detail oriented and logical
 Suggest and implement innovative ideas
 Excellent problem-solving skills

Qualifications: Education, Experience, Skills, Abilities, License/Certification:

Required Qualifications
 Minimal education & experience, essential skills & abilities and required license/certification to perform this job.)
 Bachelor of Science Degree in Computer Science or related field; or equivalent experience is required.
 Minimum of 6 to 8 years experience working with Data Analysis and Product Information Management
 Experience with Data Quality and Data Management tools
 Ability to analyze and interpret complex data sets and standardize those.
 Ability to work collaboratively within a team environment to meet ambitious goals and high-quality standards.
 Strong communication skills.
 Must be team focused, excellent communicator and collaborative demonstrated experience working with cross functional teams.

Preferred Qualifications
 Exposure to Manufacturing and/or eCommerce business domains,",Other Gujarat+1Vadodara,"Data Analysis,Product Information Management,Data Quality,Data Management,Communication Skills",Recruiter DetailsXylemOther Gujarathidden_emailhidden_mobile,https://www.shine.com/jobs/product-data-analyst-permanent/xylem/14572229,4 days ago,2024-03-27,"(6, 8)",hiring
Career Stone Consultant,Regular,Recruiter DetailsCareer Stone ConsultantOther Maharashtrahidden_emailhidden_mobile,"Sr Data Analyst( Media Data)
 Overall 6 to 10 years of experience is needed
 Understanding of Media data (E.g., Media Measurement/Media Marketing/ Media Strategy/Digital Marketing/Digital Media) is mandatory
 Data Governance/ Data Management + SQL is mandatory
 Notice period- upto 60 days
 Location- Mumbai ( people from Mumbai or Pune Preferred)

Detailed Job Description

 Understand how data sets are organized and structured; including what it is, the relationships, and how it can be used for informed analysis

 Strong working knowledge of Media Data (Coupons/Social/Digital/Traditional) including exposure on Retail Media for measurement and optimization, comfortable in adopting new tool/technology leveraged by the company and agency partners & become an SME

 Lead Spends data collection process at desired frequency, assign spends to measures using mapping and further align it to impressions for determining CPM, lead coordination efforts with media agencies/MMIX leads for. troubleshooting spends gap

 Champion the Media Deep Dive initiatives, facilitate adding creatives in existing process and support onboarding new media partner with constant Ad hoc data requirements

 Should be comfortable to work on large data sets, Google Ad Manager, Google campaign manager, Google research techniques to troubleshoot and identify data concerns/appropriate mapping fixes

Perform online and offline campaigns, including SMS, Offers, Newsfeeds, Email Campaigns, Web Push, Push notifications, E-commerce, Snapchat, Google Ads, and Facebook Ads. Automated several regular campaign processes.

Possess in-depth knowledge of campaign management systems, responsible for end-to-end campaign execution, and tracking effectiveness by emphasizing key performance indicators such as revenue, incremental revenue, ROI, conversion rates, and additional footfall. Identify

areas for optimization and segment customers based on parameters like RFM, ATV, demographics, etc.

Must - have technical skills and experience

 8+ years of experience in Marketing/Advertising/Mass Media in CPG (or related) industry,

 Professional certification in Digital Marketing and Analytics/Advertising/Media Marketing

 Passion for data governance; driving data quality via data application and understanding across an organization

 Exhibit a learning mindset and curiosity about consumer behavior, types of consumer data and application

 Proficiency in GCP, SQL/Big Query, Advance excel functionalities, relational databases, and any data harmonization tool,",Other Maharashtra,"Media Marketing,Media Strategy,Digital Marketing,Digital Media,Data Governance,Data Management,SQL,Advertising,GCP,Relational Databases,Media Data,Media Measurement,Retail Media,Google Ad Manager,Google Campaign Manager,Google Research Techniques,Campaign Management Systems,Digital Marketing,Analytics,Advance Excel Functionalities,Data Harmonization",Recruiter DetailsCareer Stone ConsultantOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-permanent/career-stone-consultant/14553254,6 days ago,2024-03-25,"(6, 10)",hiring
Walmart Global Tech India,Regular,Recruiter DetailsWalmart Global Tech IndiaChennaihidden_emailhidden_mobile,"Position Summary.

Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice and guidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales. Provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying business needs; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to competing demands, organizational changes, and new responsibilities. Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity by incorporating these into the development and implementation of business plans; using the Open Door. Policy; and demonstrating and assisting others with how to apply these in executing business processes and practices.

What you'll do.

About Team - Data Ventures

We are an upstart team, akin to a nimble start up incubated within Walmart, building the best-in-class Suite of Data Products to deliver actionable, customer-centric insights and help merchants and suppliers make better business decisionson omni channel 360 performance.

In Data Ventures, work happens in a fast-paced, results-driven agile environment with varied responsibilities. We have a deep interest and passion for technology. We are building a team that loves writing and owning codes and enjoy working with people who will keep challenging the team at every stage.

What you'll do:

A Senior Data Analyst is responsible for combining his analytical strength, logic building, consulting mind with product focus and business understanding to deliver for our business stakeholders and product leaders.
 Demonstrate strong thought-leadership and consult with product and business stakeholders to build, scale and deploy holistic analytics products after successful prototyping.
 Understand business processes, identify the correct data sources and validate the quality of the data sources, work with engineers to develop a high quality data product
 Interface with business stakeholders to proactively identify opportunities, develop business acumen and cultivate stakeholder relationships
 Explore data and perform data analysis to support business requirements
 Analyse and visualize the business impact of data products; document analytical methodologies used in the execution of data products
 Build dashboards to help deliver business insights
 Participate in internal technical councils and represent the organization in forums that involve community of analytics professionals across industry and academia.
 Promote and support company policies, procedures, mission, values, and standards of ethics and integrity.

What you'll bring:

Minimum qualifications:
 Bachelor's Degree or Masters Degree with 6+ years of experience in Computer Science or statistics or engineering or related field.
 Experience as a business/data analyst in e-commerce or retail
 Experience with SQL based querying languages (MS SQL, MY SQL, HIVE)
 Understanding of Big data and cloud Infrastructure (Hadoop, GCP & Azure)
 Experience on data visualisation tools like Tableau, Looker etc.
 Ability to operate in an ambiguous environment and deliver results
 Excellent written and verbal communications skills
 Ability to collaborate with cross-functional teams in different time zones
 Experience in consulting is a plus

Additional Qualifications:
 Good to have experience in financial analytics, cloud analytics, supply chain or retail analytics
 Years Of Experience: 6 to 10 Years
 Education/Qualification: Any Graduate/PG

About Walmart Global Tech.

Imagine working in an environment where one line of code can make life easier for hundreds of millions of people and put a smile on their face. Thats what we do at Walmart Global Tech. Were a team of 15,000+ software engineers, data engineers, data analysts, data scientists and service professionals within Walmart, the worlds largest retailer, delivering innovations that improve how our customers shop and empower our 2.3 million associates. To others, innovation looks like an app, service or some code, but Walmart has always been about people. People are why we innovate, and people power our innovations.Being human-led is our true disruption.

Flexible, hybrid work:

We use a hybrid way of working that is primarily in office coupled with virtual when not onsite. Our campuses serve as a hub to enhance collaboration, bring us together for purpose and deliver on business needs. This approach helps us make quicker decisions, remove location barriers across our global team and be more flexible in our personal lives.

Benefits:

Benefits Beyond our great compensation package, you can receive incentive awards for your performance. Other great perks include a host of best-in-class benefits maternity and parental leave, PTO, health benefits, and much more.

Minimum Qualifications.

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Minimum Qualifications:Option 1: Bachelor's degree in Business, Engineering, Statistics, Economics, Analytics, Mathematics, Arts, Finance or related field and 2 years"" experience in data analysis, data science, statistics, or related field. Option 2: Master's degree in Business, Engineering, Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field. Option 3: 4 years"" experience in data analysis, data science, statistics, or related field.

Preferred Qualifications.

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.

Primary Location.

RMZ Millenia Business Park, No 143, Campus 1B (1st -6th floor), Dr. MGR Road, (North Veeranam Salai) Perungudi , India R-hidden_mobile,",Chennai+1Other Tamil Nadu,"SQL,Big data,Tableau,Financial analytics,Retail analytics,Consulting,Cloud Infrastructure,Data visualisation tools,Looker,Supply chain analytics",Recruiter DetailsWalmart Global Tech IndiaChennaihidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-permanent/walmart-global-tech-india/14550850,7 days ago,2024-03-24,"(6, 10)",hiring
Dun & Bradstreet,Regular,Recruiter DetailsDun & BradstreetHyderabadhidden_emailhidden_mobile,"Why We Work at Dun & Bradstreet

Dun & Bradstreet unlocks the power of data through analytics, creating a better tomorrow. Each day, we are finding new ways to strengthen our award-winning culture and accelerate creativity, innovation and growth. Our 6,500+ global team members are passionate about what we do. We are dedicated to helping clients turn uncertainty into confidence, risk into opportunity and potential into prosperity. Bold and diverse thinkers are always welcome. Come join us! Learn more at dnb.com/careers.

Key Responsibilities
 Develop logical business rules instructing how to process, validate, transform and derive data using D&B protocols and standards
 Responsible for real-time aggregation of large amounts of data from various sources that includes streaming and batch data into a data lake.
 Manage the implementation of the rules into production environments, adhering to required data management and governance practices
 Perform data analysis using a variety of. database query and visualization tools to identify and understand issues or events
 Provide technical expertise in extracting, integrating, and analyzing critical data
 Enable decision-making by retrieving and aggregating data from multiple sources to present it in a digestible and actionable format
 Write test case scenarios, prepare test data and perform User Acceptance testing
 Create documentation, reports and dashboards to support the effective management and operation of the platform

Key Requirements:
 Min 6 yrs of total experience in Data Engineering and experience working as a member of one or more agile teams and SCRUM methodology
 Robust data knowledge preferably around business data sets with proven analytical and quantitative skills and an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses
 Strong Data Modelling & Mapping knowledge along with experience in XML & JSON document formats
 Experience of ETL & Data Processing using Cloud Based Technologies (GCP Preferred)
 Knowledge of DevOps experience with CI/CD pipelines, Configuration Management tools, Scripting
 Strong communication skills with the ability to collaborate and build cross team relations
 Proven ability to drive results and to implement complex, technical, multi-organizational programs
 Passionate and curious about data with the ability to query and analyze datasets in order to drive fact- based decisions
 Able to work independently with minimal supervision.
 Willing to learn new skills and implement new technologies.
 A Degree in Data Science, Information Systems, Computer Science, Business, Economics, Mathematics or similar

All Dun & Bradstreet job postings can be found at https://www.dnb.com/about-us/careers-and-people/joblistings.html. Official communication from Dun & Bradstreet will come from an email address ending in @dnb.com.

Notice to Applicants: Please be advised that this job posting page is hosted and powered by Lever. Your use of this page is subject to Lever's Privacy Notice and Cookie Policy, which governs the processing of visitor data on this platform,",Hyderabad+1Other Telangana,"Data Engineering,Agile,ETL,Data Processing,DevOps,Configuration Management,Scripting,Communication Skills,Data Analysis,Data Science,Information Systems,Computer Science,Business Analysis,Economics,Mathematics,SCRUM methodology,Data Modelling,Cloud Based Technologies,CICD pipelines",Recruiter DetailsDun & BradstreetHyderabadhidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-r-permanent/dun-bradstreet/14568180,5 days ago,2024-03-26,"(6, 10)",hiring
Spendgo,Regular,Recruiter DetailsSpendgoOther Karnatakahidden_emailhidden_mobile,"About Spendgo

Spendgo, Inc. is headquartered in San Francisco, CA and is a well-funded company that has been around for over 12 years. Spendgo is in the loyalty space.

Were proud to have big international brands like MTY and Kahala Management which own Thai Express and Coldstone Creamery as our customers.

All this is possible by having sophisticated technology to understand and parse online receipt transactions, a campaign engine that rewards points and offers based on predefined rules, and integrations with various Messaging Providers and POS systems using our APIs. Big Data and analytics are a huge part of what we do - from driving on-site behavior to e-commerce sales and customer engagement.

This is an excellent opportunity for someone who likes working with the latest technologies, solving, architecting and building solutions for complex business problems. Were in the process of exponential growth as we take on new opportunities and target new segments. Its a great time to. be joining us!

Designation: Sr Data Analyst (SQL Developer)

Experience: 6+ Years

About the Role:

If you're a detail-oriented professional with a strong background in SQL, data engineering and a passion for driving data-centric innovations, we encourage you to apply.

Who should apply for this role 
 Expert-level ability to write complex, optimized SQL queries across large data sets.
 Good experience with Aurora MYSQL on AWS.
 Proficient in managing the databases.
 Good hands-on experience with version upgrades and handling its impact on applications; experience with Data migration.
 Strong hands-on experience writing Complex SQL queries, SQL Procedures & Performance tuning.
 Proficient knowledge of the Data Lifecycle Management process and ETL, including data collection, access, use, storage, transfer, and deletion.
 Expert-level experience with RDBMS and OLAP databases like MySQL & Redshift.
 Solid understanding of batch and streaming data processing techniques.
 Proficient knowledge of the Data Lifecycle Management process and ETL, including data collection, access, use, storage, transfer, and deletion.
 Familiarity with Agile methodologies.
 Knowledge or experience in architectural best practices for building data lakes.
 Proficiency in Scala/Java and Spark for applied large-scale data processing.
 Expertise with big data technologies, including Spark, Data Lake, Delta Lake, and Hive.
 Open for IC - Individual Contributor role.

Good to Have:
 Possess a product/engineering mindset to drive impactful data solutions.
 Experience working in distributed environments with global teams.
 Willingness to acquire new skills and knowledge.

CTC: As per Industry standards, negotiable.

Location: Bangalore.
 **Immediate Joiner preferred,",Other Karnataka,"SQL,Data Engineering,AWS,Data Migration,ETL,RDBMS,OLAP,MySQL,Scala,Java,Spark,Hive,Aurora MYSQL,Redshift,Data Lake,Delta Lake",Recruiter DetailsSpendgoOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/spendgo/14559291,6 days ago,2024-03-25,"(6, 10)",hiring
Williams Consulting Pvt Ltd.,Regular9 Positions,Recruiter DetailsWilliams Consulting Pvt Ltd.Noidahidden_emailhidden_mobileShow all Jobs by this Recruiter,"We are looking for a high-energy individual for the role of Lead Data Analyst at Lets Viz. The candidate will collaborate with client stakeholders on multiple projects. 
Job Roles and Responsibilities:

Lead and mentor a team of data analysts, fostering a collaborative and high-performance culture.
Provide guidance on data analysis techniques, methodologies, and best practices.
Oversee workload distribution and ensure timely project delivery.
Drive client meetings with data-driven insights and observations on key metrics
Collaborate with client stakeholders and Translate business requirements into understanding key KPIs that can help guide decision making
Acquire data from primary or secondary data sources and maintain databases/data systems
Define requirements for business dashboards.
Pull out real-time business metrics from transactional systems/data-warehouses and understand the trends/drivers of those metrics.
Lead and participate in daily standup meetings to continuously assess data needs and deliver those.
Design and maintain Advanced dashboards that enables deeper insights, track key performance indicators (KPIs) across various business functions
",Noida,"sql,data analytics,azure,data visualization,tableau 10.x,data warehousing",Recruiter DetailsWilliams Consulting Pvt Ltd.Noidahidden_emailhidden_mobileShow all Jobs by this Recruiter,https://www.shine.com/jobs/lead-data-analyst-permanent/williams-consulting-pvt-ltd/14597897,Hot0 days ago,2024-03-31,"(6, 11)",Actively hiring
JPMC Candidate Experience page,Regular,Recruiter DetailsJPMC Candidate Experience pageOther Maharashtrahidden_emailhidden_mobile,"Short Description:

We are looking for a data analyst/scientist/expert to help drive our analytical and technical efforts to enable OpenInvest to deliver highly personalized financial solutions on a large scale. As a leading provider of values-based data-driven financial products, you will join our team to advance our investment methodology creation and testing and analytics capabilities by building internal tools and models. This will involve leveraging various techniques such as data analysis, visualization, and tool development.

Job Responsibilities:
 Develop and own new tools and improve existing tools used to create and test OpenInvests investment methodologies.
 Lead and conduct data analysis to inform business decisions and/or product design. Be able to initiate data analysis ideas and execute with precision and efficiency.
 Lead and contribute to projects within the OpenInvest Investment Research team, collaborating closely with other team members.
 Manage, develop, and. educate a small team and create a cohesive and efficient working environment.
 Collaborate and act as the lead / key point of contact cross-functionally with OpenInvests engineering, product, and research teams to identify areas where data analysis can be conducted effectively.
 Own research testing requirements and anticipated testing needs, including identifying testing pain-points and collaborating with team members to generate the best solutions.
 Cultivate a strong, trustful relationship with OpenInvests research, cross functional, and JP Morgan data and testing stakeholders while managing release, rollout, and deployment of data-related products and platforms.

Required qualifications, capabilities, and skills:
 7-10 years of experience in one or more of the following disciplines: Analytics or Data insights-related role, Statistics, Quantitative Finance, Data Science or Engineering.
 Intermediate to Advance programming skills in Python and SQL along with knowledge off BI tools like PowerBI, Tableau or Qlik
 Experienced at building/owning tooling, managing big data, and extracting valuable insights.
 Background / familiarity with Sustainable Investing/ESG themes, regulatory requirements, and trends
 Experience working with, analyzing, executing, and presenting test scripts and cases.
 Analytical experience, with a focus on statistical analysis, financial modelling or other data related analysis, and strong proficiency in Microsoft office
 Able to seamlessly switch between research, development, and product management.

Preferred qualifications, capabilities, and skills:
 Experience with data science techniques
 Ability to articulate quantitative analysis and complex technical topics to non-technical stakeholders.
 Familiarity with sustainability-related regulatory requirements and related technical implementation efforts,",Other Maharashtra,"Python,SQL,BI tools,Data Analysis,Visualization,Statistical Analysis,Financial Modelling",Recruiter DetailsJPMC Candidate Experience pageOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/esgsustainable-investing-data-analyst-associate-permanent/jpmc-candidate-experience-page/14610169,Hot1 day ago,2024-03-30,"(7, 10)",Actively hiring
Intellect Design Arena Ltd,Regular,Recruiter DetailsIntellect Design Arena LtdChennaihidden_emailhidden_mobile,"POSITION: Data Integration Analyst

EXPERIENCE (IN YEARS): 7-10 Years

LOCATION: Chennai/Hyderabad

ABOUT INTELLECT DESIGN ARENA LTD:

Intellect Design Arena Limited is a global leader in Financial Technology for Banking, Insurance, and other Financial Services. With a rich suite of products across the organization, backed with over 30 years of deep domain expertise, we are an authority on vertical and integrated products that enable institutions to meet their ambition to be the principal service provider to their customers. Our commitment is to take banking into the future, anticipating and solving the needs of tomorrows businesses.

WHAT WE DO:

We create financial technologies that help banks lead businesses on the path to growth and success. Our solutions help move the banking world forward; because thats what happens when the world knows it has financial institutions they can rely on. This is the philosophy that we at Intellect follow and our commitment to our customers. success.

A uniquely focused Products business, over $200 million Intellect Design Arena group has the soul of an agile start-up, with the maturity of an established specialist in designing advanced technology products for global financial platforms across Global Transaction Banking (GTB), Global Consumer Banking (GCB), Risk, Treasury & Markets (RTM), Insurance (Intellect SEEC) and e-Governance (GeM).

OUR ACHIEVEMENTS:

We are the world's No.1 Fintech company recognized by the global survey of IBS. We provide full spectrum, fully integrated products that run in over 250 financial institutions, across 90+ countries. With over 4500 solution architects, and domain and technology specialists, backed with over 30 years of deep domain expertise, Intellect is the brand on which progressive financial institutions rely on for transformation initiatives.

Our aggressively customer-centric design philosophy has enabled the engineering of agile and holistic digital solutions, with full lifecycle enablement and industry-leading performance assurances.

Explore more about us at: www.intellectdesign.com

WHAT INTELLECT OFFERS YOU:

FT 8012, the Worlds First FinTech Design Center for Financial Institutions, Has a rich and truly diverse work environment that is bustling with creative energy and individual perspectives from 29 nationalities and 30 languages.

LIVE YOUR DREAM - Intellect is India's most profitable unicorn. A pioneer in design thinking, it has helped shape the future of fintech with passion, and cutting-edge products.
 Imagination
 Explore new possibilities at the epi-center of Design Thinking and cutting-edge technology
 Unleash your true potential with mentor-led growth and development
 Learning
 Regular training sessions to develop personality traits
 Full support on career and skills development to enhance your expertise to maximize your career aspirations.
 Execution Excellence
 Get an opportunity to work with the worlds strongest fintech leaders who designed and created complex world-class products
 Be part of our dynamic team, to create world-class products for global marquee clients
 A clear team vision with Future FinTech Platform
 Collaboration
 A diverse and inclusive community of belonging, where teammates are empowered to bring ideas to the table and act.
 Influencing
 We are agenda setters in the market by delivering composable, contextual, and hyper-scalable Fintech solutions.

Job Description:

Role: Data Integration Analyst

(1) 7+ years of industry Experience in RDBMS technology

(2) Hands on Experience in writing Complex SQL queries

(3) Ability to interpret the ER diagram and understand the data model

(4) Ability to understand the data lineage and create mapping for the data flow

(5) Potential to explain the data model and structure to the team to build ETL pipeline

(6) Understanding of Data Warehousing concepts is desired

(7) Any ETL tool knowledge is preferable

(8) Exposure towards Data Lakehousing concepts will be an added advantage

(9) Good communication skill to interact with clients

(10) Enthusiasm to learn new technologies and concepts is expected,",Chennai+1Other Tamil Nadu,"Data modeling,RDBMS technology,Complex SQL queries,ER diagram interpretation,ETL pipeline building,Data Warehousing concepts,ETL tool knowledge,Data Lakehousing concepts,Good communication skill",Recruiter DetailsIntellect Design Arena LtdChennaihidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/intellect-design-arena-ltd/14595333,Hot1 day ago,2024-03-30,"(7, 10)",Actively hiring
myGwork - LGBTQ+ Business Community,Regular,Recruiter DetailsmyGwork - LGBTQ+ Business CommunityOther Maharashtrahidden_emailhidden_mobile,"This inclusive employer is a member of myGwork  the largest global platform for the LGBTQ+ business community.

Short Description

We are looking for a data analyst/scientist/expert to help drive our analytical and technical efforts to enable OpenInvest to deliver highly personalized financial solutions on a large scale. As a leading provider of values-based data-driven financial products, you will join our team to advance our investment methodology creation and testing and analytics capabilities by building internal tools and models. This will involve leveraging various techniques such as data analysis, visualization, and tool development.

Job Responsibilities
 Develop and own new tools and improve existing tools used to create and test OpenInvests investment methodologies.
 Lead and conduct data analysis to inform business decisions and/or product design. Be able to initiate data analysis ideas and execute with precision and efficiency.
 Lead and contribute to projects within. the OpenInvest Investment Research team, collaborating closely with other team members.
 Manage, develop, and educate a small team and create a cohesive and efficient working environment.
 Collaborate and act as the lead / key point of contact cross-functionally with OpenInvests engineering, product, and research teams to identify areas where data analysis can be conducted effectively.
 Own research testing requirements and anticipated testing needs, including identifying testing pain-points and collaborating with team members to generate the best solutions.
 Cultivate a strong, trustful relationship with OpenInvests research, cross functional, and JP Morgan data and testing stakeholders while managing release, rollout, and deployment of data-related products and platforms.

Required Qualifications, Capabilities, And Skills
 7-10 years of experience in one or more of the following disciplines: Analytics or Data insights-related role, Statistics, Quantitative Finance, Data Science or Engineering.
 Intermediate to Advance programming skills in Python and SQL along with knowledge off BI tools like PowerBI, Tableau or Qlik
 Experienced at building/owning tooling, managing big data, and extracting valuable insights.
 Background / familiarity with Sustainable Investing/ESG themes, regulatory requirements, and trends
 Experience working with, analyzing, executing, and presenting test scripts and cases.
 Analytical experience, with a focus on statistical analysis, financial modelling or other data related analysis, and strong proficiency in Microsoft office
 Able to seamlessly switch between research, development, and product management.

Preferred Qualifications, Capabilities, And Skills
 Experience with data science techniques
 Ability to articulate quantitative analysis and complex technical topics to non-technical stakeholders.
 Familiarity with sustainability-related regulatory requirements and related technical implementation efforts,",Other Maharashtra,"Python,SQL,BI tools,Data analysis,Visualization,Statistical analysis,Financial modelling",Recruiter DetailsmyGwork - LGBTQ+ Business CommunityOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/esgsustainable-investing-data-analyst-associate-permanent/mygwork-lgbtq-business-community/14606497,Hot1 day ago,2024-03-30,"(7, 10)",Actively hiring
